Date,Origin,Residence permit,Male,Female
2003-12-31,Asia,Unlimited settlement permit,113067,123779
2003-12-31,Asia,Temporary residence permit,233721,227950
2003-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",233721,227950
2003-12-31,Asia,Application for residence title filed,1644,1373
2003-12-31,Asia,Temporary suspension of deportation,36552,20121
2003-12-31,Asia,Permission to reside,29355,15872
2003-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",63104,36536
2003-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,156,222
2003-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,44,51
2003-12-31,Australia and Oceania,Unlimited settlement permit,1684,1884
2003-12-31,Australia and Oceania,Temporary residence permit,3975,2827
2003-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",3975,2827
2003-12-31,Australia and Oceania,Application for residence title filed,47,45
2003-12-31,Australia and Oceania,Temporary suspension of deportation,6,4
2003-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",668,515
2004-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1124250,1007756
2004-12-31,Europe,Exempted from requirem. to have a residence title,8885,7300
2004-12-31,Europe,Unlimited settlement permit,977565,864034
2004-12-31,Europe,Temporary residence permit,521405,572910
2004-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",521405,572910
2004-12-31,Europe,Application for residence title filed,1615,1755
2004-12-31,Europe,Temporary suspension of deportation,51434,48634
2004-12-31,Europe,Permission to reside,14210,9915
2004-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",74235,54105
2004-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2485,1647
2004-12-31,Africa,Exempted from requirem. to have a residence title,526,448
2004-12-31,Africa,Unlimited settlement permit,55546,31462
2004-12-31,Africa,Temporary residence permit,71408,55857
2004-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",71408,55857
2004-12-31,Africa,Application for residence title filed,503,352
2004-12-31,Africa,Temporary suspension of deportation,13738,6263
2004-12-31,Africa,Permission to reside,7306,3696
2004-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",16466,8093
2004-12-31,America,Right of resid. acc.to EU Law on Freedom of Movem.,2432,4497
2004-12-31,America,Exempted from requirem. to have a residence title,2236,1295
2004-12-31,America,Unlimited settlement permit,38616,47216
2004-12-31,America,Temporary residence permit,41894,48941
2004-12-31,America,"Temp.resid.permit f.special reasons,national visas",41894,48941
2004-12-31,America,Application for residence title filed,476,441
2004-12-31,America,Temporary suspension of deportation,186,259
2004-12-31,America,Permission to reside,121,88
2004-12-31,America,"No res.title, temp.susp. of dep. or perm.to reside",7268,6921
2004-12-31,Asia,Right of resid. acc.to EU Law on Freedom of Movem.,2081,3087
2004-12-31,Asia,Exempted from requirem. to have a residence title,298,346
2004-12-31,Asia,Unlimited settlement permit,106775,124220
2004-12-31,Asia,Temporary residence permit,214175,218354
2004-12-31,Asia,"Temp.resid.permit f.special reasons,national visas",214175,218354
2004-12-31,Asia,Application for residence title filed,1245,1266
2004-12-31,Asia,Temporary suspension of deportation,38789,21476
2004-12-31,Asia,Permission to reside,17954,10689
2004-12-31,Asia,"No res.title, temp.susp. of dep. or perm.to reside",38029,24495
2004-12-31,Australia and Oceania,Right of resid. acc.to EU Law on Freedom of Movem.,163,232
2004-12-31,Australia and Oceania,Exempted from requirem. to have a residence title,36,41
2004-12-31,Australia and Oceania,Unlimited settlement permit,1631,1805
2004-12-31,Australia and Oceania,Temporary residence permit,2708,2352
2004-12-31,Australia and Oceania,"Temp.resid.permit f.special reasons,national visas",2708,2352
2004-12-31,Australia and Oceania,Application for residence title filed,68,34
2004-12-31,Australia and Oceania,Temporary suspension of deportation,2,3
2004-12-31,Australia and Oceania,"No res.title, temp.susp. of dep. or perm.to reside",428,289
2005-12-31,Europe,Right of resid. acc.to EU Law on Freedom of Movem.,1145194,1029424
2005-12-31,Europe,Exempted from requirem. to have a residence title,7707,6350
2005-12-31,Europe,Unlimited settlement permit,996768,891702
2005-12-31,Europe,Temporary residence permit,492001,560766
2005-12-31,Europe,Temporary residence permit for education purposes,305,327
2005-12-31,Europe,Temporary residence permit for employment purposes,641,215
2005-12-31,Europe,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",593,565
2005-12-31,Europe,Temporary residence permit for family reasons,2451,3378
2005-12-31,Europe,"Temp.resid.permit f.special reasons,national visas",488011,556281
2005-12-31,Europe,Application for residence title filed,11549,9878
2005-12-31,Europe,Temporary suspension of deportation,45818,42957
2005-12-31,Europe,Permission to reside,8946,6737
2005-12-31,Europe,"No res.title, temp.susp. of dep. or perm.to reside",68115,50921
2005-12-31,Africa,Right of resid. acc.to EU Law on Freedom of Movem.,2593,1792
2005-12-31,Africa,Exempted from requirem. to have a residence title,466,395
2005-12-31,Africa,Unlimited settlement permit,55674,32694
2005-12-31,Africa,Temporary residence permit,68876,56380
2005-12-31,Africa,Temporary residence permit for education purposes,295,106
2005-12-31,Africa,Temporary residence permit for employment purposes,41,19
2005-12-31,Africa,"Temp.res.perm.for reas.of int.law,hum.,pol.reasons",105,116
2005-12-31,Africa,Temporary residence permit for family reasons,291,373
2005-12-31,Africa,"Temp.resid.permit f.special reasons,national visas",68144,55766
2005-12-31,Africa,Application for residence title filed,3534,2158
2005-12-31,Africa,Temporary suspension of deportation,13616,5938
2005-12-31,Africa,Permission to reside,4439,2789
2005-12-31,Africa,"No res.title, temp.susp. of dep. or perm.to reside",14991,7480
